Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Calories_per_hour,Water_per_kg,HRR,Rel_Intensity
34.0,Female,86.7,1.86,174.0,152.0,74.0,1.12,712.0,Strength,12.8,2.4,5.0,2.0,14.31,635.7142857142857,0.027681660899653977,100.0,0.78
26.0,Female,84.7,1.83,166.0,156.0,73.0,1.0,833.0,Strength,27.9,2.8,5.0,2.0,33.49,833.0,0.033057851239669415,93.0,0.8924731182795699
22.0,Male,64.8,1.85,187.0,166.0,64.0,1.24,1678.0,Cardio,28.7,1.9,3.0,2.0,12.73,1353.225806451613,0.029320987654320986,123.0,0.8292682926829268
54.0,Female,75.3,1.82,187.0,169.0,58.0,1.45,628.0,Cardio,31.8,2.4,4.0,1.0,20.37,433.1034482758621,0.03187250996015936,129.0,0.8604651162790697
34.0,Female,52.8,1.74,177.0,169.0,66.0,1.6,1286.0,Strength,26.4,3.2,4.0,2.0,20.83,803.75,0.060606060606060615,111.0,0.9279279279279279
38.0,Female,53.0,1.58,161.0,128.0,74.0,1.62,953.0,HIIT,23.4,2.5,2.0,2.0,13.02,588.2716049382716,0.04716981132075472,87.0,0.6206896551724138
44.0,Female,46.5,1.81,191.0,142.0,74.0,1.46,1238.0,Cardio,11.9,3.7,2.0,2.0,18.12,847.945205479452,0.07956989247311828,117.0,0.5811965811965812
50.0,Female,88.5,1.63,181.0,136.0,63.0,1.63,829.0,Strength,11.6,1.8,4.0,2.0,19.16,508.58895705521473,0.02033898305084746,118.0,0.6186440677966102
18.0,Female,82.9,1.54,174.0,169.0,64.0,0.77,802.0,HIIT,27.8,2.2,3.0,1.0,49.84,1041.5584415584415,0.026537997587454766,110.0,0.9545454545454546
34.0,Female,65.9,1.74,195.0,169.0,73.0,2.0,1231.0,Yoga,30.5,3.2,5.0,2.0,12.32,615.5,0.048558421851289835,122.0,0.7868852459016393
39.0,Female,47.0,1.78,181.0,155.0,55.0,1.89,747.0,Yoga,31.7,2.3,3.0,3.0,28.39,395.23809523809524,0.04893617021276595,126.0,0.7936507936507936
46.0,Male,40.0,1.88,168.0,131.0,69.0,2.0,672.0,Strength,25.4,2.4,2.0,2.0,12.32,336.0,0.06,99.0,0.6262626262626263
19.0,Male,87.7,1.98,186.0,145.0,50.0,1.61,1705.0,Strength,14.1,2.3,3.0,2.0,15.99,1059.0062111801242,0.02622576966932725,136.0,0.6985294117647058
56.0,Female,107.4,1.73,176.0,141.0,71.0,0.65,1564.0,HIIT,26.0,3.0,2.0,3.0,14.48,2406.153846153846,0.027932960893854747,105.0,0.6666666666666666
19.0,Female,71.7,1.91,197.0,148.0,74.0,1.15,464.0,Cardio,32.5,2.7,4.0,2.0,19.09,403.47826086956525,0.03765690376569038,123.0,0.6016260162601627
30.0,Female,90.6,1.6,161.0,125.0,52.0,1.03,1410.0,Yoga,16.0,3.5,4.0,2.0,13.91,1368.9320388349515,0.03863134657836645,109.0,0.6697247706422018
