Age,Gender,HRR
18.0,Female,115.12
18.0,Male,115.9
19.0,Female,112.75
19.0,Male,112.2
20.0,Female,122.08
20.0,Male,120.71
21.0,Female,114.35
21.0,Male,119.71
22.0,Female,112.75
22.0,Male,118.25
23.0,Female,122.9
23.0,Male,117.45
24.0,Female,114.12
24.0,Male,119.94
25.0,Female,114.55
25.0,Male,115.18
26.0,Female,117.18
26.0,Male,114.65
27.0,Female,111.18
27.0,Male,112.74
28.0,Female,115.36
28.0,Male,116.13
29.0,Female,114.22
29.0,Male,123.38
30.0,Female,115.67
30.0,Male,126.81
31.0,Female,112.05
31.0,Male,115.06
32.0,Female,112.43
32.0,Male,119.64
33.0,Female,113.17
33.0,Male,118.88
34.0,Female,121.33
34.0,Male,123.93
35.0,Female,105.2
35.0,Male,112.69
36.0,Female,117.47
36.0,Male,117.82
37.0,Female,115.71
37.0,Male,118.75
38.0,Female,116.0
38.0,Male,116.07
39.0,Female,107.58
39.0,Male,125.17
40.0,Female,110.56
40.0,Male,114.3
41.0,Female,119.2
41.0,Male,115.5
42.0,Female,121.24
42.0,Male,111.38
43.0,Female,119.08
43.0,Male,115.25
44.0,Female,113.87
44.0,Male,121.42
45.0,Female,116.05
45.0,Male,117.73
46.0,Female,115.0
46.0,Male,116.77
47.0,Female,113.79
47.0,Male,116.9
48.0,Female,114.41
48.0,Male,112.88
49.0,Female,110.92
49.0,Male,110.64
50.0,Female,116.6
50.0,Male,116.43
51.0,Female,115.83
51.0,Male,116.23
52.0,Female,113.0
52.0,Male,117.07
53.0,Female,115.0
53.0,Male,124.57
54.0,Female,118.27
54.0,Male,114.17
55.0,Female,115.64
55.0,Male,118.2
56.0,Female,113.29
56.0,Male,127.4
57.0,Female,114.17
57.0,Male,124.0
58.0,Female,103.67
58.0,Male,116.0
59.0,Female,116.27
59.0,Male,119.6
