alcohol_units_per_week,sex,stress_level
0.0,female,3.9239709443099273
0.0,male,3.966666666666667
0.1,female,3.7872727272727276
0.1,male,3.9266666666666667
0.2,female,4.0488888888888885
0.2,male,4.273584905660377
0.3,female,3.963829787234043
0.3,male,3.870967741935484
0.4,female,4.0964912280701755
0.4,male,3.964705882352941
0.5,female,4.011111111111111
0.5,male,4.338888888888889
0.6,female,4.158
0.6,male,3.965909090909091
0.7,female,4.0903846153846155
0.7,male,3.964150943396226
0.8,female,3.9442857142857144
0.8,male,4.017647058823529
0.9,female,4.010526315789473
0.9,male,3.957894736842105
1.0,female,3.863235294117647
1.0,male,4.037704918032787
1.1,female,4.207692307692308
1.1,male,4.2025
1.2,female,4.184848484848485
1.2,male,4.207042253521126
1.3,female,3.9219178082191783
1.3,male,4.142168674698795
1.4,female,3.956179775280899
1.4,male,4.1762500000000005
1.5,female,4.034523809523809
1.5,male,4.012727272727273
1.6,female,4.118
1.6,male,4.110294117647059
1.7,female,4.017857142857143
1.7,male,4.089655172413793
1.8,female,3.9365853658536585
1.8,male,4.0575
1.9,female,3.929411764705882
1.9,male,4.08021978021978
2.0,female,3.8626373626373627
2.0,male,3.953246753246753
2.1,female,3.899019607843137
2.1,male,3.9208955223880597
2.2,female,4.098571428571428
2.2,male,4.125974025974026
2.3,female,4.164044943820225
2.3,male,4.036363636363636
2.4,female,4.107954545454546
2.4,male,3.9573333333333336
2.5,female,4.02
2.5,male,4.07
2.6,female,4.163551401869159
2.6,male,3.9905405405405405
2.7,female,4.022666666666667
2.7,male,4.092045454545455
2.8,female,4.234821428571428
2.8,male,4.186746987951807
2.9,female,4.042268041237113
2.9,male,4.117073170731707
3.0,female,4.126250000000001
3.0,male,4.075409836065574
3.1,female,4.1934579439252335
3.1,male,4.131632653061224
3.2,female,4.051515151515152
3.2,male,3.9597560975609754
3.3,female,4.157425742574257
3.3,male,4.224657534246575
3.4,female,3.908860759493671
3.4,male,3.9274999999999998
3.5,female,4.218292682926829
3.5,male,4.163492063492064
3.6,female,4.2325842696629215
3.6,male,4.069047619047619
3.7,female,4.063529411764706
3.7,male,4.249397590361446
3.8,female,4.1179487179487175
3.8,male,4.135064935064935
3.9,female,4.057471264367816
3.9,male,4.105172413793103
4.0,female,3.9986666666666664
4.0,male,3.948529411764706
4.1,female,4.083783783783784
4.1,male,4.126666666666667
4.2,female,4.125
4.2,male,4.208823529411765
4.3,female,4.1684210526315795
4.3,male,4.195384615384615
4.4,female,4.07027027027027
4.4,male,4.176623376623377
4.5,female,4.2609375
4.5,male,4.321621621621622
4.6,female,4.17741935483871
4.6,male,4.005
4.7,female,4.115384615384615
4.7,male,4.196153846153846
4.8,female,4.123880597014925
4.8,male,4.195744680851064
4.9,female,4.015277777777778
4.9,male,4.237288135593221
5.0,female,4.108333333333333
5.0,male,4.289285714285714
5.1,female,4.316981132075472
5.1,male,4.312244897959184
5.2,female,4.027868852459016
5.2,male,4.2446153846153845
5.3,female,3.9292307692307693
5.3,male,4.366666666666667
5.4,female,4.276785714285714
5.4,male,4.3
5.5,female,4.273015873015873
5.5,male,4.288888888888889
5.6,female,4.054838709677419
5.6,male,4.064583333333333
5.7,female,4.214814814814814
5.7,male,4.129411764705882
5.8,female,4.019047619047619
5.8,male,4.178688524590164
5.9,female,4.192452830188679
5.9,male,4.204166666666667
6.0,female,4.217499999999999
6.0,male,4.2
6.1,female,4.2
6.1,male,4.2219999999999995
6.2,female,4.191111111111111
6.2,male,4.313888888888889
6.3,female,4.065116279069768
6.3,male,4.411111111111111
6.4,female,4.231034482758621
6.4,male,4.04390243902439
6.5,female,4.245945945945945
6.5,male,4.383333333333333
6.6,female,4.410869565217391
6.6,male,4.283333333333333
6.7,female,4.2025
6.7,male,4.220689655172414
6.8,female,4.3568181818181815
6.8,male,4.3694444444444445
6.9,female,4.594285714285714
6.9,male,4.097297297297297
7.0,female,4.307142857142857
7.0,male,4.170454545454546
7.1,female,3.9648648648648646
7.1,male,3.974074074074074
7.2,female,4.2
7.2,male,4.719354838709678
7.3,female,4.345454545454546
7.3,male,4.4375
