sleep_hours,sex,stress_level
4.0,female,4.625
4.0,male,5.0058823529411764
4.02,female,4.1
4.03,female,5.1
4.04,male,5.1
4.07,female,5.0
4.07,male,6.0
4.1,female,5.1
4.12,male,4.550000000000001
4.13,female,5.1
4.15,female,4.6
4.16,female,4.8
4.16,male,4.2
4.18,female,5.133333333333334
4.18,male,3.9
4.19,male,4.25
4.21,male,5.8
4.22,female,3.9
4.22,male,4.6
4.23,female,5.5
4.23,male,4.6
4.25,male,4.5
4.26,male,5.1
4.27,female,4.1
4.27,male,5.4
4.28,male,4.7
4.31,male,5.5
4.32,male,3.1500000000000004
4.33,female,4.8
4.34,male,4.8
4.35,male,6.0
4.36,male,4.466666666666667
4.37,female,5.6
4.38,female,4.8
4.38,male,5.8
4.4,female,4.8
4.41,female,4.4
4.43,male,4.65
4.44,male,4.7
4.46,female,5.0
4.46,male,4.925
4.47,female,4.5
4.47,male,4.6
4.48,male,4.550000000000001
4.49,female,3.35
4.5,male,5.0
4.51,female,5.6
4.51,male,4.85
4.52,female,5.7
4.52,male,5.8
4.53,female,3.6
4.53,male,5.0
4.54,male,4.983333333333333
4.55,female,5.0
4.55,male,4.1000000000000005
4.56,male,5.95
4.57,female,4.0
4.58,female,2.9
4.58,male,4.966666666666667
4.59,female,5.2
4.59,male,4.9
4.6,male,4.6
4.61,female,4.5
4.61,male,5.5
4.62,female,4.800000000000001
4.63,male,4.949999999999999
4.64,male,5.5
4.65,female,5.233333333333333
4.65,male,4.199999999999999
4.66,female,4.9
4.66,male,4.050000000000001
4.67,male,3.95
4.68,female,5.2
4.68,male,5.65
4.69,female,4.466666666666666
4.69,male,4.7
4.7,female,4.4
4.7,male,4.066666666666666
4.71,female,4.1
4.71,male,5.04
4.72,female,4.68
4.72,male,4.725
4.73,male,5.65
4.74,female,4.6
4.74,male,4.7
4.75,female,5.0
4.75,male,4.4
4.76,male,5.159999999999999
4.77,female,5.2
4.77,male,4.366666666666667
4.78,female,4.95
4.79,female,4.75
4.79,male,4.5
4.8,female,5.36
4.8,male,5.0
4.81,female,5.4
4.81,male,5.1
4.82,female,4.616666666666666
4.82,male,4.6
4.83,female,5.0
4.83,male,4.583333333333333
4.84,female,4.5
4.84,male,4.616666666666666
4.85,female,4.540000000000001
4.85,male,3.75
4.86,female,4.925
4.86,male,4.95
4.87,male,4.883333333333334
4.88,male,5.0
4.89,female,4.55
4.89,male,4.4
4.9,female,5.4
4.9,male,4.0
4.91,female,4.5600000000000005
4.91,male,4.3999999999999995
4.92,female,4.925
4.92,male,4.5
4.93,female,5.666666666666667
4.93,male,4.5
4.94,female,5.125
4.94,male,4.771428571428571
4.95,female,4.18
4.95,male,5.2
4.96,female,4.7
4.96,male,4.457142857142857
4.97,female,4.75
4.97,male,4.2
4.98,female,4.7
4.98,male,4.725
4.99,female,5.05
4.99,male,4.516666666666667
5.0,female,5.2
5.0,male,4.788888888888889
5.01,female,4.5
5.01,male,4.0
5.02,female,3.5999999999999996
5.02,male,4.6
5.03,female,4.025
5.03,male,4.916666666666667
5.04,female,4.36
5.04,male,4.35
5.05,female,3.6
5.05,male,4.1
5.06,female,5.199999999999999
5.06,male,5.075
5.07,female,4.65
5.07,male,4.88
5.08,female,5.2
5.08,male,5.025
5.09,female,5.6000000000000005
5.09,male,4.925
5.1,female,4.533333333333333
5.1,male,3.9
5.11,female,5.566666666666666
5.11,male,4.614285714285714
5.12,female,4.833333333333333
5.12,male,4.18
5.13,female,5.3
5.13,male,5.3
5.14,female,4.2
5.14,male,4.7
5.15,female,5.8
5.15,male,4.72
5.16,female,4.942857142857143
5.16,male,4.8500000000000005
5.17,female,4.975
5.17,male,3.96
5.18,female,4.233333333333333
5.19,female,4.685714285714285
5.19,male,4.45
5.2,female,4.233333333333333
5.2,male,4.959999999999999
5.21,female,5.4
5.21,male,4.716666666666667
5.22,female,5.033333333333333
5.22,male,5.0
5.23,female,4.466666666666667
5.23,male,4.671428571428572
5.24,female,4.9799999999999995
5.24,male,4.7
5.25,female,4.8
5.25,male,4.433333333333333
5.26,female,4.56
5.26,male,4.825
5.27,female,4.6000000000000005
5.27,male,4.3
5.28,female,4.766666666666667
5.28,male,4.666666666666667
5.29,female,4.8
5.29,male,4.866666666666666
5.3,female,4.720000000000001
5.3,male,4.8999999999999995
5.31,female,4.8
5.31,male,4.633333333333334
5.32,female,4.788888888888889
5.32,male,4.075
5.33,female,4.22
5.33,male,4.38
5.34,female,4.05
5.34,male,4.033333333333333
5.35,female,4.6875
5.35,male,4.45
5.36,female,5.075
5.36,male,4.1
5.37,female,3.65
5.37,male,3.7875
5.38,female,4.4399999999999995
5.38,male,4.811111111111111
5.39,female,4.622222222222223
5.39,male,4.033333333333333
5.4,female,5.2875
5.4,male,4.76
5.41,female,5.15
5.41,male,4.781818181818182
5.42,female,4.154545454545455
5.42,male,4.4
5.43,female,4.275
5.43,male,4.54
5.44,female,4.45
5.44,male,3.9499999999999997
5.45,female,4.366666666666666
5.45,male,4.733333333333333
5.46,female,4.283333333333333
5.46,male,4.779999999999999
5.47,female,4.74
5.47,male,4.636363636363637
5.48,female,4.6499999999999995
5.48,male,4.2
5.49,female,4.74
5.49,male,4.0600000000000005
5.5,female,4.688888888888889
5.5,male,3.85
5.51,female,4.085714285714286
5.51,male,5.2
5.52,female,3.9
5.52,male,4.357142857142857
5.53,female,4.05
5.53,male,4.714285714285714
5.54,female,4.8999999999999995
5.54,male,4.54
5.55,female,4.475
5.55,male,3.783333333333333
5.56,female,4.483333333333333
5.56,male,4.416666666666667
5.57,female,4.8500000000000005
5.57,male,4.176923076923076
5.58,female,4.477777777777778
5.58,male,4.863636363636363
5.59,female,4.55
5.59,male,4.2
5.6,female,4.511111111111111
5.6,male,4.525
5.61,female,4.46
5.61,male,4.690909090909091
5.62,female,4.3875
5.62,male,4.575
5.63,female,4.359999999999999
5.63,male,4.711111111111111
5.64,female,4.855555555555556
5.64,male,4.6899999999999995
5.65,female,4.4799999999999995
5.65,male,4.611111111111111
5.66,female,4.5
5.66,male,4.216666666666667
5.67,female,4.18
5.67,male,4.507142857142857
5.68,female,4.5625
5.68,male,4.428571428571429
5.69,female,4.477777777777778
5.69,male,4.3
5.7,female,4.0200000000000005
5.7,male,4.38125
5.71,female,4.8999999999999995
5.71,male,4.644444444444444
5.72,female,4.55
5.72,male,4.281818181818182
5.73,female,4.464285714285714
5.73,male,3.888888888888889
5.74,female,4.283333333333333
5.74,male,4.15625
5.75,female,4.66
5.75,male,4.517647058823529
5.76,female,4.614285714285714
5.76,male,4.866666666666667
5.77,female,4.7
5.77,male,4.86
5.78,female,4.578571428571428
5.78,male,3.8000000000000003
5.79,female,4.3
5.79,male,4.392857142857143
5.8,female,4.21875
5.8,male,4.372727272727273
5.81,female,4.5375
5.81,male,4.6454545454545455
5.82,female,4.38
5.82,male,4.411764705882353
5.83,female,4.3428571428571425
5.83,male,4.75
5.84,female,4.114285714285715
5.84,male,4.427272727272727
5.85,female,5.0375
5.85,male,4.011111111111111
5.86,female,4.533333333333333
5.86,male,4.6000000000000005
5.87,female,5.16
5.87,male,4.6625
5.88,female,4.325
5.88,male,4.685714285714285
5.89,female,4.476923076923077
5.89,male,4.2
5.9,female,4.4714285714285715
5.9,male,4.472727272727273
5.91,female,4.366666666666666
5.91,male,4.7
5.92,female,4.225
5.92,male,4.109090909090909
5.93,female,4.366666666666666
5.93,male,4.154999999999999
5.94,female,4.0
5.94,male,4.781818181818182
5.95,female,4.633333333333334
5.95,male,4.084615384615384
5.96,female,4.672727272727273
5.96,male,5.116666666666666
5.97,female,4.722222222222222
5.97,male,4.491666666666667
5.98,female,4.264705882352941
5.98,male,4.3625
5.99,female,4.358333333333333
5.99,male,4.475
6.0,female,4.45
6.0,male,4.181818181818182
6.01,female,4.614285714285714
6.01,male,4.125
6.02,female,4.516666666666667
6.02,male,4.514285714285714
6.03,female,4.6
6.03,male,4.521052631578947
6.04,female,4.425
6.04,male,4.275
6.05,female,4.17
6.05,male,4.294117647058823
6.06,female,4.5
6.06,male,4.2214285714285715
6.07,female,4.08
6.07,male,4.116666666666666
6.08,female,4.763636363636364
6.08,male,4.2733333333333325
6.09,female,4.4
6.09,male,4.358333333333333
6.1,female,4.5
6.1,male,3.95
6.11,female,4.318181818181818
6.11,male,4.057142857142857
6.12,female,4.107142857142857
6.12,male,4.8
6.13,female,4.40625
6.13,male,4.053846153846154
6.14,female,4.495
6.14,male,4.433333333333334
6.15,female,4.483333333333333
6.15,male,4.2823529411764705
6.16,female,4.8
6.16,male,4.294117647058823
6.17,female,4.1066666666666665
6.17,male,4.444444444444445
6.18,female,4.2384615384615385
6.18,male,4.93
6.19,female,4.51
6.19,male,4.125
6.2,female,3.988888888888889
