stress_level,sex,alcohol_units_per_week
1.0,male,4.7
1.2,male,4.9
1.3,female,3.5666666666666664
1.3,male,1.9
1.4,female,0.0
1.4,male,1.7333333333333332
1.5,female,5.3
1.5,male,2.7199999999999998
1.6,female,1.45
1.6,male,1.9857142857142858
1.7,female,2.822222222222222
1.7,male,3.46
1.8,female,3.6
1.8,male,3.8625
1.9,female,3.5866666666666664
1.9,male,3.2176470588235295
2.0,female,3.3214285714285716
2.0,male,3.0818181818181816
2.1,female,3.3814814814814813
2.1,male,2.71
2.2,female,2.845833333333333
2.2,male,3.0999999999999996
2.3,female,3.5457142857142854
2.3,male,3.983333333333333
2.4,female,3.6023255813953488
2.4,male,2.81
2.5,female,3.654
2.5,male,4.095121951219513
2.6,female,3.5161290322580645
2.6,male,3.0
2.7,female,3.467816091954023
2.7,male,2.942622950819672
2.8,female,3.247560975609756
2.8,male,3.0904761904761906
2.9,female,3.398165137614679
2.9,male,3.2708333333333335
3.0,female,3.68
3.0,male,3.4349056603773587
3.1,female,3.8732283464566932
3.1,male,3.4520325203252034
3.2,female,3.338709677419355
3.2,male,3.01640625
3.3,female,3.914364640883978
3.3,male,3.5774647887323945
3.4,female,3.891304347826087
3.4,male,3.78343949044586
3.5,female,3.655701754385965
3.5,male,3.846907216494845
3.6,female,3.705263157894737
3.6,male,3.814414414414414
3.7,female,3.83508064516129
3.7,male,3.71651376146789
3.8,female,3.9411960132890362
3.8,male,3.954201680672269
3.9,female,4.2728301886792455
3.9,male,3.996168582375479
4.0,female,4.055518394648829
4.0,male,4.091970802919708
4.1,female,4.105194805194805
4.1,male,4.063250883392226
4.2,female,3.927037037037037
4.2,male,3.7655797101449275
4.3,female,4.154444444444445
4.3,male,4.0869402985074625
4.4,female,4.049134948096886
4.4,male,4.198373983739837
4.5,female,4.355642023346304
4.5,male,4.425764192139738
4.6,female,4.050553505535055
4.6,male,3.8528634361233483
4.7,female,4.707239819004525
4.7,male,3.9614718614718614
4.8,female,4.182439024390244
4.8,male,4.469312169312169
4.9,female,4.9380434782608695
4.9,male,4.947027027027027
5.0,female,4.270056497175141
5.0,male,4.133142857142857
5.1,female,4.453205128205129
5.1,male,4.3430463576158935
5.2,female,4.796721311475411
5.2,male,4.35
5.3,female,4.618627450980393
5.3,male,4.116279069767442
5.4,female,5.097169811320755
5.4,male,4.370652173913044
5.5,female,5.110227272727273
5.5,male,5.326027397260274
5.6,female,4.642592592592592
5.6,male,4.506329113924051
5.7,female,5.025454545454545
5.7,male,4.4163265306122454
5.8,female,5.5095238095238095
5.8,male,4.474509803921569
5.9,female,4.5771428571428565
5.9,male,4.78125
6.0,female,5.437037037037038
6.0,male,6.5233333333333325
6.1,female,4.8545454545454545
6.1,male,5.931818181818182
6.2,female,5.917647058823529
6.2,male,5.441666666666666
6.3,female,5.844444444444445
6.3,male,5.6571428571428575
6.4,female,3.5266666666666664
6.4,male,3.7
6.5,female,5.628571428571428
6.5,male,4.2
6.6,female,7.9799999999999995
6.6,male,4.7
6.7,female,7.9
6.7,male,7.2
6.8,female,7.133333333333334
6.8,male,3.9
6.9,female,5.55
7.0,female,7.133333333333333
7.0,male,11.9
7.1,female,15.8
7.1,male,2.75
7.2,male,4.3
7.3,female,0.0
7.4,male,4.15
7.5,male,9.8
7.8,male,3.1
